llm,variant,ratio,train_size,loss,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,runtime,samples_per_second,steps_per_second,epoch
-,baseline_full,0pct,2758,0.2878,0.9174,0.893,0.9169,0.9033,0.8836,17.419,39.612,0.631,4.0
llama3.1:latest,restricted,10pct,2482,0.322,0.9101,0.8868,0.9098,0.8909,0.8828,18.1404,38.037,0.606,4.0
llama3.1:latest,augmented,10pct,2759,0.3147,0.9029,0.8759,0.9021,0.8844,0.8682,17.3891,39.68,0.633,4.0
llama3.1:latest,restricted,25pct,2069,0.4275,0.887,0.845,0.8858,0.8736,0.8256,0.6587,1047.495,16.699,4.0
llama3.1:latest,augmented,25pct,2761,0.3104,0.9101,0.8912,0.9092,0.9031,0.8805,0.6546,1054.05,16.804,4.0
llama3.1:latest,restricted,50pct,1378,0.5127,0.8493,0.7988,0.8428,0.8175,0.7893,0.6647,1038.092,16.549,4.0
llama3.1:latest,augmented,50pct,2758,0.3351,0.8928,0.8658,0.8919,0.8689,0.8636,0.6652,1037.347,16.537,4.0
mistral:7b,restricted,10pct,2482,0.3659,0.9116,0.8895,0.9113,0.9011,0.8794,0.5857,1178.097,18.781,4.0
mistral:7b,augmented,10pct,2759,0.3628,0.9058,0.8848,0.9046,0.8929,0.8781,0.6756,1021.262,16.281,4.0
mistral:7b,restricted,25pct,2069,0.4257,0.8913,0.8552,0.8904,0.8792,0.8375,0.6557,1052.233,16.775,4.0
mistral:7b,augmented,25pct,2761,0.3345,0.9043,0.8864,0.9035,0.8999,0.8742,0.589,1171.464,18.676,4.0
mistral:7b,restricted,50pct,1378,0.5127,0.8493,0.7988,0.8428,0.8175,0.7893,0.5732,1203.841,19.192,4.0
mistral:7b,augmented,50pct,2758,0.3443,0.8957,0.8763,0.8952,0.8753,0.878,0.6045,1141.352,18.195,4.0
phi3.5:latest,restricted,10pct,2482,0.366,0.9116,0.8895,0.9113,0.9011,0.8794,0.5816,1186.382,18.913,4.0
phi3.5:latest,augmented,10pct,2759,0.3398,0.9087,0.8874,0.9073,0.8982,0.8786,0.6539,1055.177,16.822,4.0
phi3.5:latest,restricted,25pct,2069,0.4257,0.8913,0.8552,0.8904,0.8792,0.8375,0.8137,847.96,13.518,4.0
phi3.5:latest,augmented,25pct,2761,0.3496,0.8971,0.8746,0.8963,0.8851,0.865,0.6803,1014.269,16.17,4.0
phi3.5:latest,restricted,50pct,1378,0.5127,0.8493,0.7988,0.8428,0.8175,0.7893,0.7089,973.316,15.517,4.0
phi3.5:latest,augmented,50pct,2758,0.3264,0.9,0.8821,0.8999,0.8807,0.8836,0.7898,873.655,13.928,4.0
