llm,variant,ratio,train_size,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,loss
-,baseline_full,0pct,2758,0.9174,0.893,0.9169,0.9033,0.8836,0.2878
llama3.1:latest,augmented,25pct,2761,0.9101,0.8912,0.9092,0.9031,0.8805,0.3104
phi3.5:latest,restricted,10pct,2482,0.9116,0.8895,0.9113,0.9011,0.8794,0.366
mistral:7b,restricted,10pct,2482,0.9116,0.8895,0.9113,0.9011,0.8794,0.3659
phi3.5:latest,augmented,10pct,2759,0.9087,0.8874,0.9073,0.8982,0.8786,0.3398
llama3.1:latest,restricted,10pct,2482,0.9101,0.8868,0.9098,0.8909,0.8828,0.322
mistral:7b,augmented,25pct,2761,0.9043,0.8864,0.9035,0.8999,0.8742,0.3345
mistral:7b,augmented,10pct,2759,0.9058,0.8848,0.9046,0.8929,0.8781,0.3628
phi3.5:latest,augmented,50pct,2758,0.9,0.8821,0.8999,0.8807,0.8836,0.3264
mistral:7b,augmented,50pct,2758,0.8957,0.8763,0.8952,0.8753,0.878,0.3443
llama3.1:latest,augmented,10pct,2759,0.9029,0.8759,0.9021,0.8844,0.8682,0.3147
phi3.5:latest,augmented,25pct,2761,0.8971,0.8746,0.8963,0.8851,0.865,0.3496
llama3.1:latest,augmented,50pct,2758,0.8928,0.8658,0.8919,0.8689,0.8636,0.3351
phi3.5:latest,augmented,75pct,2760,0.8841,0.8632,0.8832,0.8649,0.862,0.3719
mistral:7b,restricted,25pct,2069,0.8913,0.8552,0.8904,0.8792,0.8375,0.4257
phi3.5:latest,restricted,25pct,2069,0.8913,0.8552,0.8904,0.8792,0.8375,0.4257
mistral:7b,augmented,75pct,2760,0.8754,0.8542,0.8731,0.8635,0.8475,0.3924
llama3.1:latest,augmented,75pct,2760,0.8754,0.8495,0.8732,0.8709,0.8317,0.3626
llama3.1:latest,restricted,25pct,2069,0.887,0.845,0.8858,0.8736,0.8256,0.4275
mistral:7b,restricted,50pct,1378,0.8493,0.7988,0.8428,0.8175,0.7893,0.5127
llama3.1:latest,restricted,50pct,1378,0.8493,0.7988,0.8428,0.8175,0.7893,0.5127
phi3.5:latest,restricted,50pct,1378,0.8493,0.7988,0.8428,0.8175,0.7893,0.5127
llama3.1:latest,restricted,75pct,689,0.7464,0.4837,0.6931,0.4594,0.5127,0.6899
mistral:7b,restricted,75pct,689,0.7464,0.4837,0.6931,0.4594,0.5127,0.6899
phi3.5:latest,restricted,75pct,689,0.7464,0.4837,0.6931,0.4594,0.5127,0.6899
