llm,variant,metric,min,max,range,first_ratio_value,last_ratio_value,slope_per_pct,n_ratios
-,baseline_full,accuracy,0.9174,0.9174,0.0,0.9174,0.9174,,1
-,baseline_full,f1_macro,0.893,0.893,0.0,0.893,0.893,,1
-,baseline_full,f1_weighted,0.9169,0.9169,0.0,0.9169,0.9169,,1
-,baseline_full,loss,0.2878,0.2878,0.0,0.2878,0.2878,,1
-,baseline_full,precision_macro,0.9033,0.9033,0.0,0.9033,0.9033,,1
-,baseline_full,recall_macro,0.8836,0.8836,0.0,0.8836,0.8836,,1
llama3.1:latest,augmented,accuracy,0.8754,0.9101,0.034700000000000064,0.9029,0.8754,-0.0004230769230769243,4
llama3.1:latest,augmented,f1_macro,0.8495,0.8912,0.04169999999999996,0.8759,0.8495,-0.00040615384615384586,4
llama3.1:latest,augmented,f1_weighted,0.8732,0.9092,0.03600000000000003,0.9021,0.8732,-0.0004446153846153852,4
llama3.1:latest,augmented,loss,0.3104,0.3626,0.05219999999999997,0.3147,0.3626,0.0007369230769230769,4
llama3.1:latest,augmented,precision_macro,0.8689,0.9031,0.03420000000000001,0.8844,0.8709,-0.00020769230769230703,4
llama3.1:latest,augmented,recall_macro,0.8317,0.8805,0.048799999999999955,0.8682,0.8317,-0.0005615384615384612,4
llama3.1:latest,restricted,accuracy,0.7464,0.9101,0.16370000000000007,0.9101,0.7464,-0.0025184615384615393,4
llama3.1:latest,restricted,f1_macro,0.4837,0.8868,0.4031,0.8868,0.4837,-0.0062015384615384615,4
llama3.1:latest,restricted,f1_weighted,0.6931,0.9098,0.2167,0.9098,0.6931,-0.003333846153846154,4
llama3.1:latest,restricted,loss,0.322,0.6899,0.36789999999999995,0.322,0.6899,0.005659999999999999,4
llama3.1:latest,restricted,precision_macro,0.4594,0.8909,0.43150000000000005,0.8909,0.4594,-0.006638461538461539,4
llama3.1:latest,restricted,recall_macro,0.5127,0.8828,0.3701,0.8828,0.5127,-0.0056938461538461535,4
mistral:7b,augmented,accuracy,0.8754,0.9058,0.030400000000000094,0.9058,0.8754,-0.00046769230769230915,4
mistral:7b,augmented,f1_macro,0.8542,0.8864,0.032200000000000006,0.8848,0.8542,-0.00047076923076923185,4
mistral:7b,augmented,f1_weighted,0.8731,0.9046,0.03149999999999997,0.9046,0.8731,-0.00048461538461538417,4
mistral:7b,augmented,loss,0.3345,0.3924,0.05790000000000001,0.3628,0.3924,0.00045538461538461564,4
mistral:7b,augmented,precision_macro,0.8635,0.8999,0.03639999999999999,0.8929,0.8635,-0.000452307692307692,4
mistral:7b,augmented,recall_macro,0.8475,0.8781,0.03059999999999996,0.8781,0.8475,-0.0004707692307692302,4
mistral:7b,restricted,accuracy,0.7464,0.9116,0.1652,0.9116,0.7464,-0.002541538461538462,4
mistral:7b,restricted,f1_macro,0.4837,0.8895,0.40579999999999994,0.8895,0.4837,-0.006243076923076922,4
mistral:7b,restricted,f1_weighted,0.6931,0.9113,0.21819999999999995,0.9113,0.6931,-0.0033569230769230764,4
mistral:7b,restricted,loss,0.3659,0.6899,0.32399999999999995,0.3659,0.6899,0.004984615384615384,4
mistral:7b,restricted,precision_macro,0.4594,0.9011,0.44170000000000004,0.9011,0.4594,-0.006795384615384616,4
mistral:7b,restricted,recall_macro,0.5127,0.8794,0.3666999999999999,0.8794,0.5127,-0.00564153846153846,4
phi3.5:latest,augmented,accuracy,0.8841,0.9087,0.024599999999999955,0.9087,0.8841,-0.00037846153846153775,4
phi3.5:latest,augmented,f1_macro,0.8632,0.8874,0.0242,0.8874,0.8632,-0.0003723076923076923,4
phi3.5:latest,augmented,f1_weighted,0.8832,0.9073,0.02410000000000001,0.9073,0.8832,-0.00037076923076923094,4
phi3.5:latest,augmented,loss,0.3264,0.3719,0.045499999999999985,0.3398,0.3719,0.0004938461538461541,4
phi3.5:latest,augmented,precision_macro,0.8649,0.8982,0.033299999999999996,0.8982,0.8649,-0.0005123076923076922,4
phi3.5:latest,augmented,recall_macro,0.862,0.8836,0.021600000000000064,0.8786,0.862,-0.0002553846153846163,4
phi3.5:latest,restricted,accuracy,0.7464,0.9116,0.1652,0.9116,0.7464,-0.002541538461538462,4
phi3.5:latest,restricted,f1_macro,0.4837,0.8895,0.40579999999999994,0.8895,0.4837,-0.006243076923076922,4
phi3.5:latest,restricted,f1_weighted,0.6931,0.9113,0.21819999999999995,0.9113,0.6931,-0.0033569230769230764,4
phi3.5:latest,restricted,loss,0.366,0.6899,0.32389999999999997,0.366,0.6899,0.0049830769230769225,4
phi3.5:latest,restricted,precision_macro,0.4594,0.9011,0.44170000000000004,0.9011,0.4594,-0.006795384615384616,4
phi3.5:latest,restricted,recall_macro,0.5127,0.8794,0.3666999999999999,0.8794,0.5127,-0.00564153846153846,4
